DatasetName,proportion,k,time_limit,distance,case,WCSS,WCSS_RAW,Silhouette,Silhouette_RAW
scaled,0.1,5,180,manhattan,Base,118.4086009973669,66212.11013315798,0.5181894558964957,0.10843720880211136
scaled,0.1,5,180,manhattan,Optimal without Warm Start,123.70789132497005,66117.61950084614,0.5417186206149173,0.21761098549329022
scaled,0.1,5,180,manhattan,Optimal with Warm Start,130.03354065367844,66473.71111282868,0.617996416496659,0.33349608701003486
scaled,0.1,5,180,euclidean,Base,21.281504795230695,55302.03612644087,0.5181894558964957,0.10843720880211136
scaled,0.1,5,180,euclidean,Optimal without Warm Start,22.641231815803476,55510.195739492345,0.46049708556295466,0.14084727767569472
scaled,0.1,5,180,euclidean,Optimal with Warm Start,31.60509392609853,55479.262724265485,0.6347384147393016,0.480023094831384
scaled,0.25,3,30,manhattan,Base,634.0677491288002,159113.92641730382,0.6731304978570088,0.2698623028828432
scaled,0.25,3,30,manhattan,Optimal without Warm Start,2998.23701704823,161238.06436739248,0.4007921046962372,0.373936188818675
scaled,0.25,3,30,manhattan,Optimal with Warm Start,636.7627404069416,159196.80053578524,0.7007030275461338,0.4974717174127378
scaled,0.25,3,30,euclidean,Base,102.6628094094595,131712.32654675303,0.6731304978570088,0.2698623028828432
scaled,0.25,3,30,euclidean,Optimal without Warm Start,483.1793075320469,130412.33191719948,0.8035049504068895,0.7284066235040532
scaled,0.25,3,30,euclidean,Optimal with Warm Start,102.41038269585123,131664.32122747757,0.7007030275461338,0.4974717174127378
scaled,0.25,3,90,manhattan,Base,634.0677491288002,159113.92641730382,0.6731304978570088,0.2698623028828432
scaled,0.25,3,90,manhattan,Optimal without Warm Start,1678.3215009581777,169657.34645584822,0.37653695011664484,0.48521596928982413
scaled,0.25,3,90,manhattan,Optimal with Warm Start,635.0254063265063,159196.88138214155,0.697098765112452,0.49634966186715823
scaled,0.25,3,90,euclidean,Base,102.6628094094595,131712.32654675303,0.6731304978570088,0.2698623028828432
scaled,0.25,3,90,euclidean,Optimal without Warm Start,483.1793075320469,130412.33191719948,0.8035049504068895,0.7284066235040532
scaled,0.25,3,90,euclidean,Optimal with Warm Start,102.41038269585123,131664.32122747757,0.7007030275461338,0.4974717174127378
scaled,0.25,3,180,manhattan,Base,634.0677491288002,159113.92641730382,0.6731304978570088,0.2698623028828432
scaled,0.25,3,180,manhattan,Optimal without Warm Start,597.6511081430036,160265.6652500736,0.5739019122535055,0.4037451383861425
scaled,0.25,3,180,manhattan,Optimal with Warm Start,599.4832864625741,159824.38109287206,0.5938887653709969,0.45776211679998086
scaled,0.25,3,180,euclidean,Base,102.6628094094595,131712.32654675303,0.6731304978570088,0.2698623028828432
